"HolderAddress","Balance","PendingBalanceUpdate"
"0xcc51ec380a7303347f68fdf0d8923c04e12bb911","600","No"
"0xda97d81ea603a0b1cbbfbe05549786c52ae11cbc","600","No"
"0xe6b6022eebaf3244e1af74517e4dc2dc42853a72","600","No"
"0x38b630f942a83a3a7778400f904f7f877f94d7a6","594.868488018985790878","No"
"0xf151d801333f9c38aba628bc9144f9225b2c4f04","592.770451713605544923","No"
"0x9b4437a5d9cac2f3a41dcc23ac4b14162e9b0b05","586.128936932421763574","No"
"0x51f9afb0ab61208b18d4b49c2f4227183fb963dd","577.649323123418534368","No"
"0xb5b0fa3df4c9c301e880f1aa23d0435039dc2d26","572.099219415677175558","No"
"0x5f42b09d4bcb337580bf81889df35eea44350494","563.181457001672951609","No"
"0x6f43e2aacc44aa061732c16cd719c16de7485a86","558.022963083433405256","No"
"0x2be54d5bf4a7b1396b338d375b48b7e5c85dbbc7","551.911693129430953956","No"
"0x54143a09bc182cf4b6faadad03808b7ea74192bd","513.142768176914127096","No"
"0xbd094bcd41a7385281698ea83a24224749de07be","510.978800887901896491","No"
"0x3835260cb5a075d272653a19645cb7268771df3b","500.000031525912958907","No"
"0x0199a1620f3c92119e91265fd9d3148854e63958","500.000000000000002473","No"
"0x80c97fc0db511c0d4628e6453fd1ead5eaec2d0e","500","No"
"0x7f6964ed88f2ccbde3a96a06debb90b76ed1b0dc","500.000000000000000379","No"
"0x435e25a774d7fe4613ce7a3a45985216cfde1a05","500","No"
"0x1998da2975c688be3adb00583f857bdd5548a296","500","No"
"0x88beb781194847efb93c4872087e45dbe65c026c","500.000000000000003792","No"
"0x0a1bad4383c3c87f80f456da7446ac9ff2bd7c29","500","No"
"0x4273c8cb546a6d068a3b92c020247a96518468ed","489.809703684033560895","No"
"0xde36fdaa09885c88945f8c5c28d3a7a0d4e746c1","487.668046178497748499","No"
"0x3f11ef5ad281b7abca5ed3410e32cc51cef825cf","481.471227523129385969","No"
"0x3d75897cb35ecb0add5b725c54437bb958f1baf5","477.688349535815246477","No"
"0xff5a742c9282585a424613b32384af66e47b7ec1","468.936974879802072332","No"
"0x8ff4eba9bb946458270a11798c72831ee1c6bd7e","467.474429450256623192","No"
"0x5ee5fff873e97c645e3e8d9d67d69104fdb98a42","451.89497199682967452","No"
"0x88c62f1695dd073b43db16df1559fda841de38c6","450","No"
"0x0f7bf4765eb68d2fdc17b2437028a9a5d9314952","445.545857006770177135","No"
"0x5372cd6b63cd3f27c8515370229cb029cf5f1d62","445.204896030079270174","No"
"0x06005605bc9a8f9c1ecd921775d5073031889880","444","No"
"0x24982acbeca5436e617075438ef8f98f5aeb48b0","430.775541359585713165","No"
"0x8570b20468aca9d791a24cfabc67ce3771d0d889","429.776262958438613096","No"
"0xd24a605d0c02d7af7b8817395307388a8df6a490","427.89207271044620008","No"
"0xc9c8bd94fb92a0a4b9c36acac355be29b5cd6d98","426.759142329887619474","No"
"0x71a426767c0bef4b7d96de311d793d7102891d84","411.283040899630640262","No"
"0x537ada04c0d8502bdd2393d4525e3587ff2b2999","400","No"
"0xe4bfa2aa5e608b501793238c0adb2de88d0d0373","399.031833571182012621","No"
"0x5bf7cfd652040266b49138cf53718a80360fe477","398.866316876180160835","No"
"0x91348989a11b664089312928f3fd92a4a61af162","393.128741351481519299","No"
"0xe2a8b8cb661351d066c81f9349b3c9420fae37e6","392.185302447716100028","No"
"0x6f460cd11bad831e208cc8cbda5c73fede583c5e","373.9","No"
"0x042e524f14a6c56a7fa85dfc0975f1dce320aa40","361.317996702779642958","No"
"0x94b96376af1760d787b2cf251fb7031e1e4dbc58","361.044510984189265525","No"
"0xeef78134664602e37c37d438a49b82f531704e8b","360.5631412158642","No"
"0x02d53d2c706252814d7264edb7faf15686939702","358.732721444208815707","No"
"0x6b488c6f5c2800c7071fec6730e8c547b657610a","353.346224869807804407","No"
"0xbf44bc3ff7d27ca1b72bf1d72f5f5d4a8856cd67","350","No"
"0x1eac4b2eec2fb0348f10dac4aa0ebd3c03131dda","347.79174753955204257","No"
"0x28a0343b9cfacc88bf244841bfebe937ca008c8a","346.584080913375811301","No"
"0x286060cd2e24e0bd0814a83e3621c4ed6d5e2466","340.598564263371436549","No"
"0xb0a3c8c9b335590aa79fd7b077e8c70fbe470f66","337.677886866229281405","No"
